Inf,Name,UID,Best Pos,Best Role,Best Duty,Pros,Cons,Position,Club,On Loan From,Based,Asking Price,Salary,Expires,Nat,2nd Nat,Home Grown Status,Height,Weight,Preferred Foot,Age,Personality,Media Handling,Transfer Value,Apps,Starts,Mins,Mins/Gm,Av Rat,Yth Gls,Yth Apps,Gls,Gls/90,Shots,ShT,Shot %,Shot/90,ShT/90,Pens,Pens S,Pen/R,Off,xG,CCC,Ch C/90,Ast,Asts/90,K Pas,K Ps/90,Pas A,Ps A/90,Ps C,Ps C/90,Pas %,Cr A,Cr C,Cr C/A,Drb,Goals Outside Box,FK Shots,OP-Cr %,Tck A,Shots Outside Box/90,Shts Blckd/90,Shts Blckd,Pr passes/90,Pr Passes,Pres C/90,Pres C,Pres A/90,Pres A,Poss Won/90,Poss Lost/90,OP-KP/90,OP-KP,OP-Crs C/90,OP-Crs C,OP-Crs A/90,OP-Crs A,Gl Mst,Hdrs L/90,K Tck/90,K Hdrs/90,Sprints/90,xGP/90,Blk,xG/shot,xGP,Clr/90,Blk/90,Conv %,Crs A/90,Cr C/90,Dist/90,Drb/90,FA,Distance,Hdrs A,Aer A/90,Hdrs,Hdrs W/90,Hdr %,K Tck,Tck W,Tck/90,Tck R,Fls,Yel,Red,Itc,Int/90,Clear,Conc,All/90,Shutouts,xSv %,Svh,Svt,Svp,Sv %,Pens Faced,Pens Saved,Pens Saved Ratio,PoM,AT Apps,Saves/90,Tgls/90,Tcon/90,Tall,Tgls,Pts/Gm,NP-xG/90,NP-xG,Last Gl,Last C,Last 5 Games,Last 5 FT Games,Int Conc,Int Av Rat,Int Ast,Int Apps,Won,G. Mis,Lost,D,Gwin,xG/90,xG-OP,xA/90,xA,Cln/90,Mins/Gl,AT Lge Gls,AT Lge Apps,AT Gls,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,decimal_height,decimal_weight
,Isaah Yakubu,13133233,-,Unknown,Unknown,Unknown,Unknown,M/AM (C),Al-Ansar,,Lebanon (Lebanese Premier League),-,"$9,250 p/a",2026-06-30,GHA,,-,"5'7""",134 lbs,Right,32.0,,Scouting Required,$6K - $20K,5,5.0,450.0,90.0,7.4,,,2.0,0.4,13.0,4.0,0.31,2.6,0.8,0.0,0.0,,0.0,1.17,0.0,,0.0,,0.0,,100.0,20.0,73.0,14.6,0.73,0.0,0.0,,0.0,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.09,,0.0,,0.15,0.0,0.0,0.0,,4.0,0.0,0.0,,,,,0.0,4.0,0.8,,4.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,113.0,,0.0,0.0,,0.0,1.25,0.23,1.17,0.0,,,,,,,,0.0,,0.0,5.0,,0.23,0.83,0.08,0.38,,0.0,16.0,113.0,16.0,,,,,,,,,,,,,,,,,,12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.58,134
,Yacouba Doumbia,13146288,-,Unknown,Unknown,Unknown,Unknown,"D (C), DM",Ahed,,Lebanon (Lebanese Premier League),-,"$9,500 p/a",2026-06-30,MLI,,-,"6'4""",178 lbs,Unknown,33.0,,Scouting Required,Unknown,10,10.0,900.0,90.0,6.94,,,0.0,,5.0,2.0,0.4,0.5,0.2,0.0,0.0,,0.0,0.95,2.0,0.2,0.0,,7.0,0.7,582.0,58.2,508.0,50.8,0.87,3.0,1.0,,4.0,0.0,0.0,0.33,18.0,0.0,0.1,1.0,4.1,41.0,1.2,12.0,3.6,36.0,19.0,3.4,0.7,7.0,0.1,1.0,0.3,3.0,0.0,3.1,0.2,0.9,4.4,,5.0,0.19,,1.9,0.5,,0.3,0.1,0.0,0.4,2.0,65.2,87.0,8.7,56.0,5.6,0.64,2.0,15.0,1.5,,9.0,3.0,0.0,15.0,1.5,19.0,,,,,,,,,,,,0.0,86.0,,1.6,0.4,,16.0,2.4,0.1,0.95,,,,,,,,,7.0,,0.0,3.0,,0.1,-0.95,0.1,1.0,,,2.0,74.0,3.0,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33,178
Ask,Hervé Ngomo,2000018684,-,Unknown,Unknown,Unknown,Unknown,D (C),Dynamo Douala,,Cameroon (Elite One),-,"$2,100 p/a",,CMR,,-,"6'2""",167 lbs,Unknown,29.0,,Scouting Required,Unknown,3,3.0,270.0,180.0,7.13,,,0.0,,4.0,1.0,0.25,1.33,0.33,0.0,0.0,,0.0,0.43,0.0,,0.0,,2.0,0.67,161.0,53.67,133.0,44.33,0.83,1.0,0.0,,0.0,0.0,0.0,0.0,7.0,0.33,0.67,2.0,2.0,6.0,1.67,5.0,4.33,13.0,21.33,3.67,0.67,2.0,0.0,0.0,0.33,1.0,0.0,3.33,1.0,1.0,3.33,,1.0,0.11,,2.33,0.33,,0.33,0.0,0.0,,1.0,19.8,21.0,7.0,11.0,3.67,0.52,3.0,7.0,2.33,,0.0,0.0,0.0,3.0,1.0,7.0,,,,,,,,,,,,1.0,80.0,,1.5,2.0,,2.0,2.95,0.14,0.43,,,,,,,,,1.0,,1.0,1.0,,0.14,-0.43,0.0,0.0,,,3.0,73.0,3.0,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.17,167
,Malick Djiguiba,12095485,AM (R),Winger,Support,Speed,Intelligence,AM (RL),Stade Malien,,Mali (Ligue 1 Orange Mali),-,"$7,250 p/a",2027-07-31,MLI,,-,"6'0""",160 lbs,Right,18.0,Balanced,Media-friendly,$180K - $550K,2,2.0,180.0,90.0,7.45,2.0,12.0,1.0,0.5,4.0,3.0,0.75,2.0,1.5,0.0,0.0,,5.0,0.8,4.0,2.0,1.0,0.5,7.0,3.5,93.0,46.5,78.0,39.0,0.84,16.0,1.0,,1.0,0.0,0.0,0.06,3.0,1.0,0.5,1.0,5.0,10.0,2.0,4.0,8.0,16.0,4.0,12.0,3.5,7.0,0.5,1.0,7.5,15.0,0.0,2.0,0.0,0.0,9.0,,1.0,0.2,,0.0,0.5,0.25,8.0,0.5,0.0,0.5,0.0,15.7,5.0,2.5,1.0,0.5,0.2,0.0,3.0,1.5,,8.0,1.0,0.0,1.0,0.5,0.0,,,,,,,,,,,,0.0,2.0,,1.5,1.5,,3.0,1.5,0.4,0.8,134.0,,,,,,,,1.0,,1.0,0.0,,0.4,0.2,0.34,0.69,,0.0,,,1.0,7.0,11.0,2.0,14.0,8.0,7.0,8.0,12.0,2.0,2.0,2.0,3.0,5.0,10.0,13.0,2.0,12.0,12,6.0,4.0,7.0,3.0,2.0,10.0,7.0,1.0,5.0,13.0,13.0,12.0,3.0,12.0,6.0,9.0,13.0,7.0,7.0,7.0,2.0,2.0,8.0,9.0,6.0,14.0,7.0,2.0,12.0,6.0,160
FrA,Abdelmoumen Sifour,13207395,GK,Goalkeeper,Defend,Reflexes,,GK,,,Algeria,-,-,,ALG,,-,"6'2""",178 lbs,Right,27.0,Balanced,Media-friendly,$0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,4.0,6.0,6.0,3.0,7.0,3.0,6.0,1.0,6.0,13.0,11.0,13.0,2.0,10.0,13.0,7.0,1.0,12,3.0,3.0,3.0,12.0,8.0,13.0,1.0,12.0,5.0,1.0,2.0,1.0,5.0,2.0,6.0,13.0,1.0,4.0,7.0,6.0,9.0,10.0,14.0,7.0,11.0,10.0,5.0,14.0,13.0,6.17,178
Loa,David Oppong,2000206642,-,Unknown,Unknown,Marking,Team Player,D (C),Hearts of Oak,,Ghana (Premier League),-,"$6,750 p/a",2026-07-31,GHA,,-,"6'0""",169 lbs,Right,22.0,Balanced,Media-friendly,$14K - $140K,0 (1),,28.0,28.0,6.6,,,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,13.0,,11.0,,0.85,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,2.3,1.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,1.0,,,,,,,,,,,,0.0,98.0,,,,,1.0,,,0.0,,,,,,,,,1.0,,0.0,0.0,,,0.0,,0.0,,,3.0,86.0,3.0,8.0,,,2.0,4.0,14.0,7.0,5.0,,,,12.0,,8.0,12.0,,,3-5,14.0,,,9.0,,9.0,12.0,,,,7.0,,,,6.0,14.0,,,9.0,8.0,,,,,8.0,,9.0,,11.0,6.0,169
,Ibrahim Danlad,13193960,GK,Goalkeeper,Defend,Handling,,GK,Asante Kotoko,,Ghana (Premier League),-,"$7,000 p/a",2027-07-31,GHA,,-,"5'11""",167 lbs,Right Only,22.0,Balanced,Media-friendly,$100K,1,1.0,90.0,90.0,6.7,,,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,17.0,17.0,3.0,3.0,0.18,,,,0.0,,,,0.0,,,,1.0,1.0,0.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.15,,0.0,0.15,7.0,,,,,0.0,,0.0,2.5,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,2.0,2.0,0.0,-3.86,1.0,1.0,3.0,-0.14,0.0,0.0,,0.0,97.0,5.0,2.0,2.0,2.0,2.0,1.45,0.0,0.0,,13.0,,,,,,,0.0,,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,92.0,,7.0,7.0,9.0,4.0,8.0,1.0,9.0,11.0,5.0,12.0,5.0,11.0,2.0,10.0,7.0,12.0,1.0,14,3.0,1.0,2.0,6.0,11.0,12.0,1.0,13.0,4.0,1.0,5.0,1.0,6.0,3.0,6.0,14.0,2.0,4.0,9.0,10.0,9.0,12.0,15.0,8.0,7.0,12.0,8.0,12.0,7.0,5.92,167
Loa,Emmanuel Agyei,2000165879,M (C),Mezzala,Support,Speed,Marking,M (C),Dreams FC (GHA),,Ghana (Premier League),-,"$5,500 p/a",2026-07-31,GHA,,-,"5'11""",154 lbs,Right,20.0,Balanced,Media-friendly,$18K,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,12.0,10.0,3.0,12.0,7.0,6.0,5.0,10.0,3.0,3.0,1.0,7.0,4.0,13.0,13.0,3.0,10.0,10,10.0,2.0,9.0,11.0,2.0,9.0,6.0,3.0,6.0,5.0,9.0,7.0,1.0,3.0,6.0,10.0,6.0,4.0,5.0,8.0,2.0,3.0,8.0,7.0,8.0,13.0,11.0,1.0,13.0,5.92,154
Loa,Kwabena Boateng,2000128226,M (C),Mezzala,Support,Speed,Marking,"DM, M (C)",Berekum Chelsea,,Ghana (Premier League),-,"$6,750 p/a",2027-07-31,GHA,,-,"5'10""",158 lbs,Right,22.0,Balanced,Media-friendly,$0 - $65K,1 (1),1.0,103.0,51.5,6.7,,,0.0,,1.0,0.0,0.0,0.87,0.0,0.0,0.0,,0.0,0.01,0.0,,0.0,,2.0,1.75,89.0,77.77,77.0,67.28,0.87,0.0,0.0,,0.0,0.0,0.0,,1.0,0.87,0.87,1.0,4.37,5.0,3.5,4.0,13.11,15.0,7.86,12.23,1.75,2.0,0.0,0.0,0.0,0.0,0.0,,0.87,0.0,12.23,,1.0,0.01,,1.75,0.87,,0.0,0.0,0.0,,1.0,9.5,2.0,1.75,2.0,1.75,1.0,1.0,1.0,0.87,,0.0,0.0,0.0,2.0,1.75,2.0,,,,,,,,,,,,0.0,41.0,,0.0,1.75,,0.0,1.3,0.01,0.01,,,,,,,,,0.0,,1.0,1.0,,0.01,-0.01,0.02,0.02,,,1.0,37.0,2.0,13.0,11.0,,10.0,8.0,8.0,7.0,8.0,,,,7.0,,14.0,9.0,1.0,,13,,,9.0,13.0,,5.0,4.0,,,9.0,10.0,6.0,,8.0,6.0,,6.0,,,,,,,,,,5.0,,13.0,5.83,158
,Thomas Boateng,2000108723,D (C),Central Defender,Cover,Marking,Athleticism,D (C),Bechem Utd,,Ghana (Premier League),-,"$6,500 p/a",,GHA,,-,"5'10""",163 lbs,Right,25.0,Balanced,Media-friendly,$500 - $3.5K,3 (2),3.0,298.0,59.6,6.47,,,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,1.0,0.3,93.0,28.09,75.0,22.65,0.81,0.0,0.0,,0.0,0.0,0.0,,3.0,0.0,0.6,2.0,1.51,5.0,1.51,5.0,2.72,9.0,9.36,5.74,0.3,1.0,0.0,0.0,0.0,0.0,0.0,4.23,0.0,0.0,3.02,,2.0,0.0,,0.6,0.6,,0.0,0.0,0.0,,0.0,22.8,23.0,6.95,9.0,2.72,0.39,0.0,3.0,0.91,,0.0,0.0,0.0,3.0,0.91,2.0,,,,,,,,,,,,0.0,83.0,,0.91,2.11,,3.0,0.95,0.0,0.0,,,,,,,,,0.0,,3.0,2.0,,0.0,0.0,0.01,0.03,,,,81.0,,8.0,6.0,2.0,2.0,8.0,13.0,6.0,6.0,3.0,1.0,1.0,12.0,2.0,9.0,10.0,2.0,5.0,6,15.0,1.0,2.0,14.0,4.0,5.0,13.0,1.0,1.0,5.0,8.0,5.0,2.0,1.0,6.0,13.0,1.0,3.0,8.0,9.0,3.0,3.0,9.0,8.0,12.0,12.0,6.0,1.0,9.0,5.83,163
Yth,Joseph Amamoo,2002162587,ST (C),Poacher,Attack,Speed,Intelligence,ST (C),SC Accra,,Ghana (Ghanaian Academies),-,$250 p/a,2026-02-28,GHA,,-,"6'5""",167 lbs,Right,16.0,Balanced,Level-headed,$0,0 (2),,82.0,41.0,6.3,,,0.0,,2.0,1.0,0.5,2.2,1.1,0.0,0.0,,0.0,0.21,0.0,,0.0,,1.0,1.1,19.0,20.85,18.0,19.76,0.95,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.1,0.0,0.0,1.1,1.0,1.1,1.0,4.39,4.0,0.0,24.15,1.1,1.0,0.0,0.0,1.1,1.0,0.0,9.88,0.0,0.0,3.29,,0.0,0.1,,1.1,,,1.1,0.0,0.0,,2.0,5.4,9.0,9.88,0.0,0.0,0.0,0.0,1.0,1.1,,2.0,0.0,0.0,0.0,,1.0,,,,,,,,,,,,0.0,2.0,,1.1,1.1,,1.0,1.3,0.23,0.21,,,,,,,,,0.0,,1.0,1.0,,0.23,-0.21,0.0,0.0,,,,2.0,,8.0,3.0,3.0,12.0,4.0,1.0,3.0,7.0,1.0,1.0,1.0,1.0,2.0,4.0,9.0,2.0,10.0,9,1.0,1.0,3.0,7.0,3.0,12.0,2.0,2.0,6.0,12.0,11.0,9.0,2.0,9.0,6.0,5.0,4.0,4.0,4.0,6.0,4.0,2.0,7.0,10.0,7.0,7.0,7.0,2.0,11.0,6.42,167
,Sofiane Khadir,12065791,M (R),Winger,Support,Speed,Heading,D/WB/M (R),MC Oran,,Algeria (Ligue 1),-,"$64,000 p/a",,ALG,,-,"5'9""",156 lbs,Right,31.0,,Scouting Required,Unknown,0 (2),,10.0,5.0,,,,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,4.0,,3.0,,0.75,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,1.0,,,,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,0.2,1.0,,1.0,,1.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,144.0,,,,,0.0,,,0.0,,,,,,,,,0.0,,1.0,1.0,,,0.0,,0.0,,,2.0,142.0,2.0,,,,,,,,,,,,,,,,,,10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75,156
,Joseph Ablorh,2000084661,D (L),Full-Back,Defend,Speed,Team Player,D (LC),Hafia FC,,Guinea (Ligue 1 Nimba Mining),-,"$6,500 p/a",,GUI,GHA,-,"6'3""",156 lbs,Left,26.0,,Scouting Required,Unknown,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,6.75,0.0,2.0,,,,,,,,,,,,1.0,45.0,1.0,,,,,,,,,,,,,,,,,,7-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25,156
Inj,Ngala N'Doye,12075188,D (R),Complete Wing-Back,Attack,Speed,,D/WB (R),US Gorée,,Senegal (Ligue 1 StarTimes),-,"$6,500 p/a",,SEN,,-,"6'2""",167 lbs,Right Only,27.0,,Scouting Required,Unknown,3,3.0,270.0,90.0,7.87,,,0.0,,1.0,0.0,0.0,0.33,0.0,0.0,0.0,,1.0,0.07,4.0,1.33,3.0,1.0,8.0,2.67,146.0,48.67,125.0,41.67,0.86,14.0,6.0,,1.0,0.0,0.0,0.43,9.0,0.33,0.0,0.0,8.33,25.0,3.0,9.0,13.33,40.0,8.33,11.0,2.33,7.0,1.67,5.0,3.67,11.0,0.0,2.33,0.33,0.33,9.33,,3.0,0.07,,1.33,1.0,,4.67,2.0,0.0,0.33,2.0,24.0,12.0,4.0,5.0,1.67,0.42,1.0,8.0,2.67,,3.0,0.0,0.0,6.0,2.0,4.0,,,,,,,,,,,,1.0,80.0,,2.0,0.33,,6.0,3.25,0.02,0.07,,,,,,,,,2.0,,0.0,1.0,,0.02,-0.07,0.54,1.61,,,4.0,74.0,5.0,,,,,,,,,,,,,,,,,,10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.17,167
,Chigozie Obasi,13222132,-,Unknown,Unknown,Unknown,Unknown,D (R),Coton FC,,Benin (Beninese Ligue 1 - C),-,"$65,000 p/a",2026-06-30,NGA,,-,"5'5""",123 lbs,Unknown,27.0,,Scouting Required,Unknown,8,8.0,720.0,180.0,6.56,,,0.0,,2.0,0.0,0.0,0.25,0.0,0.0,0.0,,0.0,0.19,0.0,,0.0,,0.0,,286.0,35.75,248.0,31.0,0.87,3.0,1.0,,2.0,0.0,0.0,0.33,36.0,0.12,0.5,4.0,2.12,17.0,1.38,11.0,4.5,36.0,5.62,3.38,0.0,0.0,0.12,1.0,0.38,3.0,0.0,1.12,0.75,0.62,4.0,,5.0,0.1,,1.12,0.62,,0.38,0.12,0.0,0.25,4.0,29.8,12.0,1.5,3.0,0.38,0.25,6.0,28.0,3.5,,8.0,0.0,0.0,17.0,2.12,9.0,,,,,,,,,,,,0.0,120.0,,0.5,2.25,,2.0,2.4,0.02,0.19,,,,,,,,,0.0,,2.0,6.0,,0.02,-0.19,0.04,0.35,,,11.0,114.0,11.0,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.42,123
Ctr,Takumi Yoshioka,2000291758,M (L),Winger,Attack,Speed,Marking,M (L),Yahhh-Man,,Japan (Lower Division),-,N/A,,JPN,,-,"6'0""",158 lbs,Left,20.0,,Scouting Required,Unknown,22,22.0,1980.0,90.0,7.14,,,2.0,0.09,22.0,8.0,0.36,1.0,0.36,0.0,0.0,,0.0,2.43,0.0,,3.0,0.14,0.0,,440.0,20.0,323.0,14.68,0.73,0.0,0.0,,0.0,0.0,0.0,,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.11,,0.0,,0.09,0.0,0.0,0.0,,26.0,0.0,0.0,,,,,0.0,19.0,0.86,,29.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,29.0,,0.0,0.0,,0.0,1.0,0.11,2.43,0.0,,,,,,,,0.0,,0.0,22.0,,0.11,-0.43,0.09,1.99,,0.0,3.0,29.0,3.0,,,,,,,,,,,,,,,,,,11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,158
FrA,Frederick Antwi,2002084838,D (C),No-Nonsense Centre-Back,Stopper,Team Player,Speed,D (C),,,Ghana,-,-,,GHA,,-,"5'10""",147 lbs,Right,17.0,Low Determination,Media-friendly,$0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,2.0,7.0,13.0,10.0,4.0,5.0,2.0,3.0,3.0,6.0,2.0,4.0,4.0,2.0,2.0,12,8.0,2.0,4.0,4.0,1.0,8.0,6.0,2.0,3.0,4.0,2.0,2.0,1.0,2.0,5.0,6.0,3.0,4.0,4.0,4.0,1.0,2.0,6.0,5.0,6.0,6.0,10.0,1.0,4.0,5.83,147
,Kalo Ouattara,2000255290,ST (C),Poacher,Attack,Speed,Team Player,ST (C),Asante Kotoko,,Ghana (Premier League),-,"$6,500 p/a",2026-06-30,GHA,,-,"5'11""",158 lbs,Right,23.0,Balanced,Media-friendly,$0 - $90K,2 (2),2.0,190.0,47.5,7.03,,,1.0,0.47,9.0,3.0,0.33,4.26,1.42,0.0,0.0,,1.0,0.69,2.0,0.95,0.0,,4.0,1.89,66.0,31.26,53.0,25.11,0.8,3.0,1.0,,2.0,1.0,0.0,0.33,3.0,1.42,0.0,0.0,0.95,2.0,0.47,1.0,1.89,4.0,3.32,7.58,1.89,4.0,0.47,1.0,1.42,3.0,0.0,9.95,0.0,0.47,4.74,,0.0,0.08,,0.0,,0.11,1.42,0.47,0.0,0.95,2.0,15.1,36.0,17.05,15.0,7.11,0.42,0.0,3.0,1.42,,1.0,0.0,0.0,1.0,0.47,0.0,,,,,,,,,,,,1.0,82.0,,1.42,0.95,,3.0,1.3,0.33,0.69,48.0,,,,,,,,0.0,,0.0,4.0,,0.33,0.31,0.37,0.79,,0.0,19.0,78.0,22.0,7.0,7.0,1.0,9.0,6.0,1.0,7.0,8.0,3.0,2.0,3.0,7.0,5.0,7.0,12.0,3.0,13.0,12,5.0,4.0,6.0,10.0,1.0,10.0,13.0,1.0,4.0,9.0,13.0,13.0,1.0,10.0,5.0,10.0,3.0,5.0,7.0,9.0,4.0,1.0,4.0,7.0,9.0,13.0,10.0,1.0,12.0,5.92,158
Yth,Emmanuel Arthur,2002162595,AM (R),Winger,Support,Team Player,Intelligence,AM (R),SC Accra,,Ghana (Ghanaian Academies),-,$250 p/a,2026-10-18,GHA,,-,"5'9""",130 lbs,Right,15.0,Low Determination,Media-friendly,$0,2,2.0,119.0,59.5,6.6,,,0.0,,0.0,,,,,0.0,0.0,,2.0,0.0,0.0,,0.0,,2.0,1.51,45.0,34.03,39.0,29.5,0.87,9.0,5.0,,3.0,0.0,0.0,0.56,3.0,0.0,0.0,0.0,4.54,6.0,3.03,4.0,11.34,15.0,1.51,19.66,1.51,2.0,3.78,5.0,6.81,9.0,0.0,3.78,0.0,0.0,9.08,,0.0,0.0,,0.0,,,6.81,3.78,0.0,2.27,2.0,9.6,6.0,4.54,1.0,0.76,0.17,0.0,2.0,1.51,,3.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,2.0,,0.76,3.78,,1.0,1.3,0.0,0.0,,,,,,,,,0.0,,1.0,1.0,,0.0,0.0,0.0,0.0,,,,2.0,,11.0,5.0,2.0,8.0,16.0,1.0,2.0,6.0,1.0,2.0,1.0,1.0,2.0,7.0,11.0,1.0,5.0,9,1.0,1.0,2.0,12.0,3.0,2.0,4.0,2.0,2.0,9.0,7.0,6.0,1.0,10.0,5.0,2.0,5.0,2.0,2.0,3.0,1.0,2.0,8.0,5.0,4.0,9.0,9.0,3.0,13.0,5.75,130
FrA,Michael Blankson,2000111760,GK,Sweeper Keeper,Defend,Rushing Out (Tendency),,GK,,,Ghana,-,-,,GHA,,-,"6'1""",160 lbs,Right,28.0,Balanced,Media-friendly,$0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,4.0,4.0,7.0,2.0,5.0,2.0,3.0,4.0,15.0,9.0,9.0,5.0,3.0,8.0,12.0,6.0,2.0,13,2.0,2.0,2.0,8.0,12.0,8.0,1.0,12.0,6.0,1.0,1.0,3.0,5.0,2.0,5.0,12.0,2.0,3.0,10.0,5.0,6.0,10.0,13.0,4.0,8.0,8.0,8.0,12.0,12.0,6.08,160
,Fredrick Asante,2000165902,ST (C),Poacher,Attack,Heading,Team Player,ST (C),Black Stars (MLI),Accra Lions FC,Mali (Ligue 1 Orange Mali),-,"$6,500 p/a",2026-07-31,GHA,,-,"6'1""",176 lbs,Right,24.0,Balanced,Media-friendly,$0 - $55K,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,55.0,9.0,7.0,8.0,,11.0,7.0,,11.0,8.0,,,,,5.0,8.0,10.0,,7.0,13,,1.0,7.0,,,14.0,14.0,,,10.0,8.0,13.0,,14.0,5.0,7.0,7.0,,,13.0,,,,,,,5.0,,11.0,6.08,176
Wnt,Albert Eonde,95068452,-,Unknown,Unknown,Speed,Team Player,ST (C),Hearts of Oak,,Ghana (Premier League),$6K,"$6,500 p/a",2025-12-31,CMR,,-,"6'1""",167 lbs,Right,27.0,Balanced,Media-friendly,$6K,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,50.0,7.0,8.0,4.0,,9.0,,,8.0,13.0,,,,,7.0,7.0,13.0,,9.0,12-14,,,6.0,,,10.0,13.0,,,9.0,9.0,13.0,,12.0,5.0,10.0,6.0,,,,,,,,,,6.0,,13.0,6.08,167
FrA,Khulekani Kubheka,65032578,GK,Sweeper Keeper,Attack,Rushing Out (Tendency),,GK,,,South Africa,-,-,,RSA,,-,"5'10""",160 lbs,Right,26.0,Balanced,Media-friendly,$0,-,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,7.0,6.0,7.0,2.0,7.0,1.0,5.0,4.0,14.0,13.0,12.0,12.0,2.0,6.0,11.0,8.0,3.0,7,3.0,3.0,2.0,10.0,13.0,8.0,1.0,13.0,3.0,1.0,4.0,3.0,10.0,2.0,5.0,13.0,1.0,3.0,11.0,8.0,8.0,7.0,13.0,7.0,10.0,12.0,7.0,12.0,13.0,5.83,160
